Date	Price	Open	High	Low	Vol.	Change %
05/07/2023	13,340.17	13,247.09	13,427.42	13,193.08	1.20B	0.61%
04/30/2023	13,259.13	13,229.12	13,291.11	12,938.45	1.23B	0.10%
04/23/2023	13,245.99	12,981.71	13,247.39	12,724.24	1.37B	1.89%
04/16/2023	13,000.77	13,053.26	13,196.18	12,899.64	1.09B	-0.60%
04/09/2023	13,079.52	12,936.52	13,152.29	12,833.31	1.08B	0.13%
04/02/2023	13,062.60	13,084.10	13,204.08	12,846.03	951.62M	-0.90%
03/26/2023	13,181.35	12,797.89	13,188.83	12,517.87	1.24B	3.25%
03/19/2023	12,767.05	12,487.79	12,943.62	12,407.82	1.43B	1.97%
03/12/2023	12,519.88	11,752.10	12,674.34	11,695.41	2.08B	5.83%
03/05/2023	11,830.28	12,344.65	12,466.88	11,789.86	1.32B	-3.75%
02/26/2023	12,290.81	12,106.79	12,300.46	11,830.09	1.32B	2.68%
02/19/2023	11,969.65	12,205.21	12,257.06	11,900.84	1.11B	-3.14%
02/12/2023	12,358.18	12,356.50	12,689.34	12,233.79	1.34B	0.43%
02/05/2023	12,304.92	12,468.80	12,771.58	12,204.21	1.46B	-2.14%
01/29/2023	12,573.36	12,047.16	12,880.98	11,906.11	1.70B	3.34%
01/22/2023	12,166.60	11,652.00	12,248.15	11,550.07	1.38B	4.71%
01/15/2023	11,619.03	11,531.54	11,690.27	11,251.94	1.14B	0.67%
01/08/2023	11,541.48	11,133.07	11,547.96	11,050.68	1.28B	4.54%
01/01/2023	11,040.35	11,038.42	11,093.10	10,696.42	1.18B	0.92%
12/25/2022	10,939.76	10,944.30	10,981.06	10,671.19	886.80M	-0.42%
12/18/2022	10,985.45	11,243.00	11,285.78	10,784.01	1.29B	-2.30%
12/11/2022	11,243.72	11,572.26	12,166.41	11,175.54	2.08B	-2.76%
12/04/2022	11,563.33	11,899.54	11,957.36	11,431.96	1.17B	-3.59%
11/27/2022	11,994.26	11,684.07	12,115.34	11,450.34	1.42B	2.03%
11/20/2022	11,756.03	11,623.35	11,866.42	11,503.34	720.09M	0.68%
11/13/2022	11,677.02	11,728.11	12,024.95	11,519.38	1.30B	-1.18%
11/06/2022	11,817.01	10,900.83	11,840.07	10,790.35	1.60B	8.84%
10/30/2022	10,857.03	11,465.21	11,574.39	10,632.39	1.57B	-5.97%
10/23/2022	11,546.21	11,321.11	11,681.85	11,166.49	1.59B	2.09%
10/16/2022	11,310.33	10,967.25	11,374.38	10,959.75	1.33B	5.78%
10/09/2022	10,692.06	11,048.51	11,152.89	10,440.64	1.42B	-3.15%
10/02/2022	11,039.47	11,059.17	11,660.55	10,985.01	1.34B	0.62%
09/25/2022	10,971.22	11,283.14	11,546.87	10,966.95	1.41B	-3.01%
09/18/2022	11,311.24	11,753.60	12,062.52	11,169.66	1.25B	-4.64%
09/11/2022	11,861.38	12,649.23	12,752.83	11,710.25	1.87B	-5.77%
09/04/2022	12,588.29	12,106.57	12,610.43	11,928.81	941.72M	4.05%
08/28/2022	12,098.44	12,488.46	12,594.34	12,012.98	1.29B	-4.02%
08/21/2022	12,605.17	13,056.39	13,175.25	12,603.41	1.10B	-4.82%
08/14/2022	13,242.90	13,529.66	13,720.91	13,210.82	982.54M	-2.38%
08/07/2022	13,565.87	13,227.09	13,565.87	12,945.60	1.08B	2.71%
07/31/2022	13,207.69	12,877.04	13,326.72	12,809.01	1.16B	2.01%
07/24/2022	12,947.97	12,391.21	12,986.64	12,051.21	1.32B	4.45%
07/17/2022	12,396.47	12,089.68	12,662.86	11,836.52	1.20B	3.45%
07/10/2022	11,983.62	12,008.76	12,026.06	11,488.27	1.08B	-1.17%
07/03/2022	12,125.69	11,419.34	12,179.32	11,366.07	851.83M	4.66%
06/26/2022	11,585.68	12,157.93	12,175.98	11,322.86	1.17B	-4.30%
06/19/2022	12,105.85	11,446.99	12,112.82	11,423.20	1.18B	7.45%
06/12/2022	11,265.99	11,472.19	11,751.29	11,037.21	1.84B	-4.79%
06/05/2022	11,832.82	12,745.89	12,804.46	11,825.35	1.10B	-5.70%
05/29/2022	12,548.03	12,688.95	12,897.63	12,447.77	1.08B	-1.05%
05/22/2022	12,681.42	11,867.08	12,682.58	11,576.11	1.18B	7.15%
05/15/2022	11,835.62	12,297.07	12,572.99	11,492.29	1.30B	-4.45%
05/08/2022	12,387.40	12,465.91	12,542.32	11,692.12	1.52B	-2.41%
05/01/2022	12,693.54	12,864.83	13,556.67	12,522.77	1.36B	-1.25%
04/24/2022	12,854.80	13,275.41	13,542.56	12,835.48	1.37B	-3.76%
04/17/2022	13,356.87	13,859.47	14,277.21	13,342.79	1.06B	-3.86%
04/10/2022	13,893.21	14,149.60	14,264.74	13,882.75	818.25M	-3.03%
04/03/2022	14,327.26	14,903.38	15,161.88	14,307.68	1.04B	-3.59%
03/27/2022	14,861.21	14,763.16	15,265.42	14,705.92	1.12B	0.72%
03/20/2022	14,754.31	14,377.15	14,805.88	14,190.53	1.12B	2.32%
03/13/2022	14,420.08	13,248.09	14,427.46	13,020.40	1.69B	8.41%
03/06/2022	13,301.83	13,853.53	13,879.10	13,129.40	1.35B	-3.87%
02/27/2022	13,837.83	14,058.61	14,342.56	13,738.61	1.28B	-2.48%
02/20/2022	14,189.16	13,892.81	14,193.00	13,065.44	1.13B	1.28%
02/13/2022	14,009.54	14,233.40	14,647.79	13,918.76	1.16B	-1.71%
02/06/2022	14,253.84	14,716.43	15,057.90	14,194.54	1.18B	-3.00%
01/30/2022	14,694.35	14,505.07	15,196.40	14,442.88	1.39B	1.66%
01/23/2022	14,454.61	14,160.91	14,646.54	13,724.85	1.60B	0.11%
01/16/2022	14,438.40	15,378.06	15,446.29	14,432.64	1.15B	-7.51%
01/09/2022	15,611.59	15,383.18	16,017.39	15,165.53	1.12B	0.12%
01/02/2022	15,592.19	16,395.51	16,513.87	15,526.80	1.14B	-4.46%
12/26/2021	16,320.08	16,361.07	16,607.19	16,317.26	694.68M	0.07%
12/19/2021	16,308.21	15,566.83	16,360.75	15,508.74	753.21M	3.21%
12/12/2021	15,801.46	16,317.90	16,340.53	15,664.10	1.59B	-3.25%
12/05/2021	16,331.98	15,744.91	16,413.28	15,557.78	1.11B	3.95%
11/28/2021	15,712.04	16,263.43	16,454.56	15,543.31	1.43B	-1.96%
11/21/2021	16,025.58	16,644.77	16,764.86	15,988.95	815.00M	-3.31%
11/14/2021	16,573.34	16,227.01	16,625.86	16,096.37	986.03M	2.31%
11/07/2021	16,199.88	16,351.49	16,401.93	15,905.28	888.22M	-0.97%
10/31/2021	16,359.38	15,879.61	16,454.48	15,785.31	980.24M	3.21%
10/24/2021	15,850.47	15,417.25	15,856.90	15,338.49	963.88M	3.23%
10/17/2021	15,355.07	15,091.58	15,497.58	15,074.71	766.66M	1.37%
10/10/2021	15,146.92	14,765.69	15,150.14	14,636.33	842.62M	2.20%
10/03/2021	14,820.75	14,713.60	15,010.32	14,384.93	886.76M	0.20%
09/26/2021	14,791.87	15,205.23	15,240.58	14,555.12	973.54M	-3.51%
09/19/2021	15,329.68	15,068.65	15,356.92	14,821.03	828.22M	-0.02%
09/12/2021	15,333.47	15,545.66	15,562.28	15,291.04	1.15B	-0.69%
09/05/2021	15,440.75	15,662.30	15,701.40	15,433.43	627.56M	-1.36%
08/29/2021	15,652.86	15,460.93	15,696.42	15,459.74	797.17M	1.42%
08/22/2021	15,432.95	15,140.14	15,447.03	15,140.14	776.08M	2.26%
08/15/2021	15,092.57	15,090.05	15,142.03	14,773.19	832.24M	-0.29%
08/08/2021	15,136.68	15,136.13	15,169.45	14,956.25	718.38M	0.18%
08/01/2021	15,109.36	15,046.10	15,184.27	14,864.53	823.25M	1.00%
07/25/2021	14,959.90	15,088.28	15,142.35	14,787.80	957.73M	-1.01%
07/18/2021	15,111.79	14,517.96	15,125.84	14,455.07	940.28M	2.93%
07/11/2021	14,681.38	14,878.71	15,002.28	14,667.10	762.13M	-0.98%
